row=20 col=15
2	55	69	211	5	2	55	69	211	5	2	55	69	211	5
78	5	26	1	25	78	5	26	1	25	78	5	26	1	25
0	54	89	63	51	7	859	6	3	1	7	859	6	3	1
7	859	6	3	1	0	54	89	63	51	0	54	89	63	51
25	55	21	65	399	63	5695	3778	956	232	566	998	47	52	654
52	15	252	52	152	4	2	0	52	45	68	21	54	6	542
78	5	26	1	25	78	5	26	1	25	78	5	26	1	25
0	54	89	63	51	7	859	6	3	1	7	859	6	3	1
7	859	6	3	1	0	54	89	63	51	0	54	89	63	51
25	55	21	65	399	63	5695	3778	956	232	566	998	47	52	654
52	15	252	52	152	4	2	0	52	45	68	21	54	6	542
2	55	69	211	5	2	55	69	211	5	2	55	69	211	5
78	5	26	1	25	78	5	26	1	25	78	5	26	1	25
0	54	89	63	51	7	859	6	3	1	7	859	6	3	1
7	859	6	3	1	0	54	89	63	51	0	54	89	63	51
25	55	21	65	399	63	5695	3778	956	232	566	998	47	52	654
52	15	252	52	152	4	2	0	52	45	68	21	54	6	542
78	5	26	1	25	78	5	26	1	25	78	5	26	1	25
0	54	89	63	51	7	859	6	3	1	7	859	6	3	1
7	859	6	3	1	0	54	89	63	51	0	54	89	63	51
