17523	390279	43428	36332	27584	17165	383837	86464	49922	29386
12525	35890	51904	32331	47707	7119	336792	198284	75321	21365
75897	117755	96909	192651	55211	77418	435808	286172	237123	43479
80397	120260	46117	27558	54278	82660	446545	238078	71430	43544
514420	1776169	745857	543011	695493	523438	7078512	2777408	974672	414013
18875	585131	56002	50215	105491	20189	1382935	810191	249022	84288
12525	35890	51904	32331	47707	7119	336792	198284	75321	21365
75897	117755	96909	192651	55211	77418	435808	286172	237123	43479
80397	120260	46117	27558	54278	82660	446545	238078	71430	43544
514420	1776169	745857	543011	695493	523438	7078512	2777408	974672	414013
18875	585131	56002	50215	105491	20189	1382935	810191	249022	84288
17523	390279	43428	36332	27584	17165	383837	86464	49922	29386
12525	35890	51904	32331	47707	7119	336792	198284	75321	21365
75897	117755	96909	192651	55211	77418	435808	286172	237123	43479
80397	120260	46117	27558	54278	82660	446545	238078	71430	43544
514420	1776169	745857	543011	695493	523438	7078512	2777408	974672	414013
18875	585131	56002	50215	105491	20189	1382935	810191	249022	84288
12525	35890	51904	32331	47707	7119	336792	198284	75321	21365
75897	117755	96909	192651	55211	77418	435808	286172	237123	43479
80397	120260	46117	27558	54278	82660	446545	238078	71430	43544
